 Grade breakdown where there are fewer than five entries is not provided and is denoted with [c].,,,,,,,,,,,,,,,
Year,Area,Education_Authority,Centre Type,Centre ,Centre Name,Level,Title,Entries,A,B,C,AC,D,AD,NA
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,National 5,Accounting,10,7,0,0,70.0%,0,70.0%,3
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,National 5,Applications of Mathematics,90,24,18,23,72.2%,13,86.7%,12
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,National 5,Art and Design,54,43,7,3,98.1%,1,100.0%,0
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,National 5,Biology,109,46,20,23,81.7%,9,89.9%,11
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,National 5,Business Management,51,22,12,8,82.4%,8,98.0%,1
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,National 5,Chemistry,129,60,22,19,78.3%,16,90.7%,12
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,National 5,Computing Science,69,20,12,15,68.1%,11,84.1%,11
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,National 5,Drama,40,20,10,9,97.5%,1,100.0%,0
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,National 5,English,191,111,49,23,95.8%,6,99.0%,2
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,National 5,English for Speakers of Other Languages,4,[c],[c],[c],[c],[c],[c],[c]
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,National 5,French,39,32,3,4,100.0%,0,100.0%,0
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,National 5,Geography,55,27,9,11,85.5%,7,98.2%,1
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,National 5,German,1,[c],[c],[c],[c],[c],[c],[c]
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,National 5,Graphic Communication,32,7,5,15,84.4%,3,93.8%,2
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,National 5,Health and Food Technology,2,[c],[c],[c],[c],[c],[c],[c]
2024,"Aberdeen, City of",Aberdeen City Council Education Department,Education Authority - Secondary School,5244439,Aberdeen Grammar School,National 5,History,90,54,12,9,83.3%,4,87.8%,11
